isbn,bookTitle,author
9789937936583,अनिवार्य नेपाली,Dr. Narayan Prasad Sharma Gaire
978-9351768449,Objective General English,S. P. Bakshi
9788184884845,Philosophical and Sociological Foundations of Education,"M.S. Talawar, T. Pradeep Kumar"
978-3110622973,Cognitive Linguistics - Foundations of Language,"Ewa Dąbrowska, Dagmar Divjak"
978-1265141417,"McGraw Hill Conquering ACT English, Reading, and Writing","Steven W. Dulan, Amy Dulan"
9789937255974,नेपाली - नेवा:भाषा शब्दावली,Krishna Halwai
,नेपाली कक्षा १०,पाठ्यक्रम विकास केन्द्र
978-0134461366,Econometric analysis,William Greene
9780070611931,Quantitative Techniques in Management,N. D. Vohra
9780787972448,Derryberry's Educating for Health: A Foundation for Contemporary Health Education Practice,"Mayhew Derryberry, John P. Allegrante, David Sleet"
9781266287022,"Foundations of Physical Education, Exercise Science, and Sport","Jennifer L. Walton-Fisette, Deborah A. Wuest"
9780262047579,The Foundations of Population Genetics,Daniel M. Weinreich
9780805836820,Educational Psychology: A Century of Contributions,"Barry J. Zimmerman, Dale H. Schunk"
9786239608927,English for Communication 1: Purpose of the Study,"Dr. Agus Wibowo, M.Kom., M.Si., M.M."
9780131933958,"Introduction to Academic Writing, Third Edition","Alice Oshima, Ann Hogue"
9788182813854,The Economics of Development and Planning,M.L. Jhingan
9780470496633,"To Improve Health and Health Care: The Robert Wood Johnson Foundation Anthology, Volume XIII","Stephen L. Isaacs, David C. Colby, Robert Wood Johnson Foundation"
9781412957410,The Art of Educational Leadership: Balancing Performance and Accountability,Fenwick W. English
9780736083232,"Foundations of Sport and Exercise Psychology, 5th Edition","Robert S. Weinberg, Daniel Gould"
9783319651415,Exploring the Health State of a Population by Dynamic Modeling Methods,"Christos H. Skiadas, Charilaos Skiadas"
